"StartDate","EndDate","Status","Duration__in_seconds_","consent","age","gender","Partner_Availabilty1","Partner_Availabilty2","FearBeingSingle1","FearBeingSingle2","FearBeingSingle3","DAuse","RsStatus","SexOrient","Q_TotalDuration","Dummy_Relationship","Dummy_Female","PartnerAvail","FOBS","c_PAmany","RsStatus_inRShip","Gndr_F"
2019-12-05 17:33:06,2019-12-07 08:44:30,0,141083,1,40,1,3,4,1,4,1,1,2,1,141083,1,0,3.5,2,0.6139,1,0
2019-12-07 10:41:29,2019-12-07 10:55:46,0,857,1,60,1,4,3,3,2,3,1,2,4,857,1,0,3.5,2.66666666666667,0.6139,1,0
2019-12-07 10:48:51,2019-12-07 11:10:17,0,1285,1,43,2,2,2,3,3,3,1,2,1,1285,1,1,2,3,-0.8861,1,1
2019-12-07 12:10:57,2019-12-07 12:58:06,0,2828,1,58,1,5,4,1,1,1,1,2,1,2828,1,0,4.5,1,1.6139,1,0
2019-12-07 16:16:29,2019-12-07 16:30:58,0,868,1,29,1,4,5,3,4,4,1,2,1,868,1,0,4.5,3.66666666666667,1.6139,1,0
2019-12-07 19:15:15,2019-12-07 19:35:33,0,1218,1,48,2,1,1,2,2,2,1,2,1,1218,1,1,1,2,-1.8861,1,1
2019-12-07 19:21:24,2019-12-07 19:39:15,0,1070,1,39,1,1,2,4,4,4,1,2,1,1070,1,0,1.5,4,-1.3861,1,0
2019-12-07 19:29:05,2019-12-07 19:52:13,0,1387,1,59,1,4,4,1,1,1,1,2,4,1387,1,0,4,1,1.1139,1,0
2019-12-07 20:09:17,2019-12-07 20:30:07,0,1250,1,51,2,1,1,1,1,1,1,2,1,1250,1,1,1,1,-1.8861,1,1
2019-12-07 20:53:02,2019-12-07 21:08:06,0,904,1,27,2,3,2,2,2,2,1,2,1,904,1,1,2.5,2,-0.3861,1,1
2019-12-07 21:07:25,2019-12-07 21:32:06,0,1481,1,48,2,4,3,3,5,3,1,2,1,1481,1,1,3.5,3.66666666666667,0.6139,1,1
2019-12-08 07:48:55,2019-12-08 08:20:18,0,1882,1,57,2,2,2,3,3,3,1,2,1,1882,1,1,2,3,-0.8861,1,1
2019-12-08 08:57:29,2019-12-08 09:23:32,0,1563,1,64,1,2,4,1,1,1,1,2,1,1563,1,0,3,1,0.1139,1,0
2019-12-08 10:07:44,2019-12-08 10:26:46,0,1142,1,37,1,3,3,2,2,3,1,2,1,1142,1,0,3,2.33333333333333,0.1139,1,0
2019-12-08 13:31:54,2019-12-08 13:54:20,0,1346,1,22,2,2,2,3,4,4,1,2,4,1346,1,1,2,3.66666666666667,-0.8861,1,1
2019-12-08 18:44:42,2019-12-08 19:06:14,0,1292,1,32,2,2,1,2,2,2,1,2,1,1292,1,1,1.5,2,-1.3861,1,1
2019-12-08 20:45:08,2019-12-08 21:05:28,0,1220,1,37,2,2,2,5,5,5,1,2,1,1220,1,1,2,5,-0.8861,1,1
2019-12-09 08:18:45,2019-12-09 08:44:41,0,1555,1,35,2,4,4,4,4,4,1,2,1,1555,1,1,4,4,1.1139,1,1
2019-12-09 09:06:39,2019-12-09 09:26:21,0,1181,1,40,2,1,1,2,2,3,1,2,1,1181,1,1,1,2.33333333333333,-1.8861,1,1
2019-12-09 12:21:36,2019-12-09 12:49:57,0,1701,1,25,1,3,2,3,5,4,1,2,1,1701,1,0,2.5,4,-0.3861,1,0
2019-12-09 08:40:22,2019-12-09 14:04:23,0,19440,1,29,2,3,2,2,3,4,1,2,1,19440,1,1,2.5,3,-0.3861,1,1
2019-12-09 14:28:17,2019-12-09 15:11:47,0,2610,1,23,2,2,2,3,4,2,1,2,1,2610,1,1,2,3,-0.8861,1,1
2019-12-09 17:36:04,2019-12-09 17:53:59,0,1074,1,47,1,2,2,3,3,2,1,2,1,1074,1,0,2,2.66666666666667,-0.8861,1,0
2019-12-09 21:06:00,2019-12-09 21:23:11,0,1030,1,41,1,3,4,4,5,5,1,2,1,1030,1,0,3.5,4.66666666666667,0.6139,1,0
2019-12-09 23:23:28,2019-12-09 23:50:09,0,1601,1,35,1,5,5,2,4,4,1,2,1,1601,1,0,5,3.33333333333333,2.1139,1,0
2019-12-10 07:58:20,2019-12-10 08:19:07,0,1247,1,31,2,2,3,3,4,4,1,2,1,1247,1,1,2.5,3.66666666666667,-0.3861,1,1
2019-12-10 08:19:05,2019-12-10 08:55:44,0,2198,1,42,1,1,2,5,5,4,1,2,1,2198,1,0,1.5,4.66666666666667,-1.3861,1,0
2019-12-10 11:51:12,2019-12-10 12:13:33,0,1341,1,42,1,4,3,3,3,2,1,2,1,1341,1,0,3.5,2.66666666666667,0.6139,1,0
2019-12-10 11:18:32,2019-12-10 12:59:51,0,6079,1,40,1,1,1,1,1,1,1,2,1,6079,1,0,1,1,-1.8861,1,0
2019-12-10 13:06:28,2019-12-10 13:24:13,0,1064,1,48,1,5,3,1,4,4,1,2,1,1064,1,0,4,3,1.1139,1,0
2019-12-10 15:24:36,2019-12-10 15:38:51,0,854,1,48,1,3,2,3,4,3,1,2,1,854,1,0,2.5,3.33333333333333,-0.3861,1,0
2019-12-10 20:11:36,2019-12-10 20:33:30,0,1313,1,33,2,4,4,4,5,5,1,2,1,1313,1,1,4,4.66666666666667,1.1139,1,1
2019-12-11 01:04:30,2019-12-11 01:21:12,0,1001,1,23,2,3,4,5,5,5,1,2,1,1001,1,1,3.5,5,0.6139,1,1
2019-12-11 13:41:45,2019-12-11 14:01:27,0,1181,1,58,2,4,4,3,4,3,1,2,1,1181,1,1,4,3.33333333333333,1.1139,1,1
2019-12-12 10:26:49,2019-12-12 10:40:19,0,810,1,43,1,3,2,4,4,3,1,2,1,810,1,0,2.5,3.66666666666667,-0.3861,1,0
2019-12-12 10:22:32,2019-12-12 11:44:51,0,4938,1,42,1,2,2,5,5,4,1,2,1,4938,1,0,2,4.66666666666667,-0.8861,1,0
2019-12-12 12:56:46,2019-12-12 13:30:04,0,1997,1,51,1,3,4,1,1,1,1,2,1,1997,1,0,3.5,1,0.6139,1,0
2019-12-12 13:28:20,2019-12-12 13:45:23,0,1022,1,27,2,3,2,4,4,4,1,2,1,1022,1,1,2.5,4,-0.3861,1,1
2019-12-12 13:56:58,2019-12-12 14:26:34,0,1776,1,62,1,3,4,2,2,2,1,2,1,1776,1,0,3.5,2,0.6139,1,0
2019-12-05 22:40:51,2019-12-05 23:06:23,0,1531,1,49,2,1,1,2,4,4,1,2,1,1531,1,1,1,3.33333333333333,-1.8861,1,1
2019-12-06 15:31:38,2019-12-06 16:10:45,0,2347,1,46,2,3,2,4,4,4,1,2,1,2347,1,1,2.5,4,-0.3861,1,1
2019-12-06 18:48:30,2019-12-06 18:59:14,0,643,1,55,1,3,4,3,3,3,1,2,1,643,1,0,3.5,3,0.6139,1,0
2019-12-06 19:30:24,2019-12-06 19:45:03,0,878,1,58,2,4,4,2,2,2,1,2,1,878,1,1,4,2,1.1139,1,1
2019-12-06 22:45:03,2019-12-06 23:07:22,0,1338,1,47,1,5,3,1,4,4,1,2,1,1338,1,0,4,3,1.1139,1,0
2019-12-07 10:21:29,2019-12-07 10:52:14,0,1845,1,47,1,2,2,4,3,2,1,2,2,1845,1,0,2,3,-0.8861,1,0
2019-12-07 11:32:22,2019-12-07 11:49:24,0,1022,1,63,2,3,2,1,1,1,1,2,1,1022,1,1,2.5,1,-0.3861,1,1
2019-12-07 14:03:41,2019-12-07 14:41:42,0,2280,1,33,2,2,3,2,1,2,1,2,1,2280,1,1,2.5,1.66666666666667,-0.3861,1,1
2019-12-07 15:48:53,2019-12-07 16:02:56,0,842,1,40,1,4,4,5,1,1,1,2,1,842,1,0,4,2.33333333333333,1.1139,1,0
2019-12-08 08:19:47,2019-12-08 08:40:18,0,1230,1,36,2,2,2,4,3,1,1,2,1,1230,1,1,2,2.66666666666667,-0.8861,1,1
2019-12-08 20:49:36,2019-12-08 21:06:58,0,1041,1,37,2,1,1,1,1,1,1,2,4,1041,1,1,1,1,-1.8861,1,1
2019-12-09 10:32:38,2019-12-09 10:50:55,0,1097,1,38,2,2,3,2,2,2,1,2,1,1097,1,1,2.5,2,-0.3861,1,1
2019-12-10 07:01:56,2019-12-10 07:34:37,0,1961,1,37,2,3,2,1,1,1,1,2,4,1961,1,1,2.5,1,-0.3861,1,1
2019-12-10 13:00:37,2019-12-10 13:18:39,0,1081,1,19,2,2,3,2,4,2,1,2,1,1081,1,1,2.5,2.66666666666667,-0.3861,1,1
2019-12-10 14:29:06,2019-12-10 14:51:19,0,1332,1,35,1,3,4,5,5,5,1,2,1,1332,1,0,3.5,5,0.6139,1,0
2019-12-09 19:39:29,2019-12-09 20:32:50,0,3201,1,33,2,2,2,1,1,1,1,2,3,3201,1,1,2,1,-0.8861,1,1
2019-12-09 20:18:07,2019-12-09 20:37:57,0,1190,1,49,2,5,5,2,3,3,1,2,1,1190,1,1,5,2.66666666666667,2.1139,1,1
2019-12-10 13:26:33,2019-12-10 13:56:50,0,1816,1,29,2,5,4,1,1,1,1,2,1,1816,1,1,4.5,1,1.6139,1,1
2019-12-05 14:01:53,2019-12-05 14:14:42,0,768,1,30,2,4,4,3,5,3,1,2,1,768,1,1,4,3.66666666666667,1.1139,1,1
2019-12-06 18:48:04,2019-12-06 19:08:33,0,1228,1,60,2,4,3,1,4,4,1,2,1,1228,1,1,3.5,3,0.6139,1,1
2019-12-07 18:00:34,2019-12-07 18:25:00,0,1465,1,58,1,5,5,5,4,5,8,2,1,1465,1,0,5,4.66666666666667,2.1139,1,0
2019-12-09 12:54:40,2019-12-09 13:14:04,0,1164,1,29,1,5,4,2,4,1,2,2,2,1164,1,0,4.5,2.33333333333333,1.6139,1,0
2019-12-07 22:41:23,2019-12-07 22:54:21,0,777,1,53,2,5,5,2,4,2,3,2,1,777,1,1,5,2.66666666666667,2.1139,1,1
2019-12-05 14:59:00,2019-12-05 15:31:00,0,1920,1,35,2,3,3,1,5,5,3,2,1,1920,1,1,3,3.66666666666667,0.1139,1,1
2019-12-07 14:20:56,2019-12-07 14:44:04,0,1387,1,37,1,5,1,3,1,1,2,2,1,1387,1,0,3,1.66666666666667,0.1139,1,0
2019-12-10 17:53:49,2019-12-10 18:04:48,0,658,1,40,2,4,4,4,4,3,2,2,1,658,1,1,4,3.66666666666667,1.1139,1,1
2019-12-07 22:31:15,2019-12-07 22:55:26,0,1451,1,62,2,3,1,4,5,5,1,2,1,1451,1,1,2,4.66666666666667,-0.8861,1,1
2019-12-07 16:58:29,2019-12-07 17:10:10,0,701,1,39,1,2,4,1,1,1,5,2,2,701,1,0,3,1,0.1139,1,0
2019-12-07 16:09:45,2019-12-07 16:25:12,0,926,1,47,1,5,4,5,5,2,2,2,1,926,1,0,4.5,4,1.6139,1,0
2019-12-09 15:50:58,2019-12-09 16:56:25,0,3927,1,25,1,5,5,2,5,5,2,2,1,3927,1,0,5,4,2.1139,1,0
2019-12-10 16:47:58,2019-12-10 17:04:40,0,1001,1,39,1,4,4,4,5,4,2,2,1,1001,1,0,4,4.33333333333333,1.1139,1,0
2019-12-06 13:56:38,2019-12-06 14:16:44,0,1205,1,60,1,5,5,1,1,1,2,2,1,1205,1,0,5,1,2.1139,1,0
2019-12-07 23:00:05,2019-12-07 23:47:33,0,2847,1,29,1,3,4,5,5,4,2,2,1,2847,1,0,3.5,4.66666666666667,0.6139,1,0
2019-12-09 15:56:02,2019-12-09 18:56:39,0,10836,1,27,1,4,4,4,4,5,2,2,1,10836,1,0,4,4.33333333333333,1.1139,1,0
2019-12-09 21:52:48,2019-12-09 22:21:30,0,1721,1,29,1,5,5,5,5,5,2,2,1,1721,1,0,5,5,2.1139,1,0
2019-12-10 08:25:49,2019-12-10 09:15:29,0,2980,1,49,1,2,3,4,3,5,2,2,1,2980,1,0,2.5,4,-0.3861,1,0
2019-12-06 17:22:03,2019-12-06 18:07:03,0,2698,1,63,1,5,5,5,1,1,2,2,1,2698,1,0,5,2.33333333333333,2.1139,1,0
2019-12-05 14:28:01,2019-12-05 14:46:16,0,1094,1,32,2,5,1,4,3,1,1,2,4,1094,1,1,3,2.66666666666667,0.1139,1,1
2019-12-06 03:14:55,2019-12-06 03:30:36,0,940,1,51,1,3,3,3,5,5,1,2,1,940,1,0,3,4.33333333333333,0.1139,1,0
2019-12-06 12:40:30,2019-12-06 12:55:19,0,889,1,54,1,5,5,5,5,5,1,2,1,889,1,0,5,5,2.1139,1,0
2019-12-06 13:04:01,2019-12-06 13:27:00,0,1378,1,49,1,2,2,1,1,1,1,2,1,1378,1,0,2,1,-0.8861,1,0
2019-12-06 13:39:05,2019-12-06 14:11:30,0,1944,1,23,2,3,1,1,3,5,1,2,1,1944,1,1,2,3,-0.8861,1,1
2019-12-06 21:50:00,2019-12-06 22:10:54,0,1253,1,40,2,3,5,5,3,3,1,2,1,1253,1,1,4,3.66666666666667,1.1139,1,1
2019-12-07 13:20:27,2019-12-07 13:39:55,0,1168,1,35,2,1,2,2,5,5,1,2,1,1168,1,1,1.5,4,-1.3861,1,1
2019-12-07 15:35:01,2019-12-07 15:54:50,0,1189,1,63,2,5,5,5,5,5,1,2,1,1189,1,1,5,5,2.1139,1,1
2019-12-07 16:24:19,2019-12-07 16:42:19,0,1079,1,30,2,1,2,5,5,5,1,2,1,1079,1,1,1.5,5,-1.3861,1,1
2019-12-07 17:21:02,2019-12-07 17:34:27,0,805,1,60,1,1,2,1,1,2,1,2,4,805,1,0,1.5,1.33333333333333,-1.3861,1,0
2019-12-07 17:57:50,2019-12-07 18:13:58,0,968,1,53,2,1,3,2,2,1,1,2,1,968,1,1,2,1.66666666666667,-0.8861,1,1
2019-12-07 18:06:28,2019-12-07 18:24:56,0,1108,1,61,1,5,5,3,1,1,1,2,1,1108,1,0,5,1.66666666666667,2.1139,1,0
2019-12-07 20:30:10,2019-12-07 20:52:07,0,1317,1,41,2,3,2,4,5,5,1,2,1,1317,1,1,2.5,4.66666666666667,-0.3861,1,1
2019-12-08 22:43:24,2019-12-09 00:02:34,0,4750,1,39,2,3,3,2,5,1,1,2,1,4750,1,1,3,2.66666666666667,0.1139,1,1
2019-12-09 14:19:20,2019-12-09 15:31:10,0,4309,1,24,2,4,4,3,4,2,1,2,1,4309,1,1,4,3,1.1139,1,1
2019-12-10 12:15:08,2019-12-10 12:34:14,0,1145,1,39,2,2,2,4,3,4,1,2,1,1145,1,1,2,3.66666666666667,-0.8861,1,1
2019-12-10 13:30:05,2019-12-10 13:50:01,0,1195,1,42,1,3,4,4,2,2,1,2,1,1195,1,0,3.5,2.66666666666667,0.6139,1,0
2019-12-10 15:09:52,2019-12-10 15:26:13,0,981,1,32,2,3,4,2,5,4,1,2,1,981,1,1,3.5,3.66666666666667,0.6139,1,1
2019-12-10 14:09:35,2019-12-10 15:35:22,0,5147,1,19,1,3,4,5,5,2,1,2,1,5147,1,0,3.5,4,0.6139,1,0
2019-12-10 23:15:35,2019-12-11 00:08:29,0,3173,1,36,2,5,5,3,5,5,1,2,1,3173,1,1,5,4.33333333333333,2.1139,1,1
2019-12-11 01:45:02,2019-12-11 02:07:44,0,1361,1,49,2,1,1,2,5,1,1,2,1,1361,1,1,1,2.66666666666667,-1.8861,1,1
2019-12-12 15:20:32,2019-12-12 15:35:49,0,917,1,33,2,4,1,1,1,1,1,2,1,917,1,1,2.5,1,-0.3861,1,1
2019-12-05 12:48:37,2019-12-05 18:00:24,0,18707,1,36,2,1,1,1,5,5,1,2,1,18707,1,1,1,3.66666666666667,-1.8861,1,1
2019-12-07 06:55:40,2019-12-07 07:15:15,0,1174,1,50,2,3,3,2,2,2,1,2,1,1174,1,1,3,2,0.1139,1,1
2019-12-07 09:26:25,2019-12-07 09:51:12,0,1486,1,29,1,4,4,1,2,2,1,2,1,1486,1,0,4,1.66666666666667,1.1139,1,0
2019-12-07 09:51:57,2019-12-07 10:25:25,0,2007,1,33,1,2,2,5,4,4,1,2,1,2007,1,0,2,4.33333333333333,-0.8861,1,0
2019-12-07 11:11:11,2019-12-07 11:29:39,0,1108,1,47,1,3,3,4,4,5,1,2,1,1108,1,0,3,4.33333333333333,0.1139,1,0
2019-12-07 12:28:59,2019-12-07 12:41:35,0,755,1,25,1,4,3,4,3,2,1,2,1,755,1,0,3.5,3,0.6139,1,0
2019-12-07 16:47:16,2019-12-07 17:39:04,0,3108,1,58,2,3,3,4,2,3,1,2,4,3108,1,1,3,3,0.1139,1,1
2019-12-07 20:15:53,2019-12-07 20:42:11,0,1577,1,36,2,2,2,4,5,4,1,2,1,1577,1,1,2,4.33333333333333,-0.8861,1,1
2019-12-07 20:53:36,2019-12-07 21:31:31,0,2274,1,56,1,2,2,1,5,5,1,2,1,2274,1,0,2,3.66666666666667,-0.8861,1,0
2019-12-08 07:57:31,2019-12-08 09:58:07,0,7235,1,49,2,5,1,5,5,4,1,2,1,7235,1,1,3,4.66666666666667,0.1139,1,1
2019-12-08 13:48:23,2019-12-08 14:15:38,0,1634,1,46,2,3,3,3,3,3,1,2,1,1634,1,1,3,3,0.1139,1,1
2019-12-09 09:11:21,2019-12-09 09:33:54,0,1352,1,28,2,4,4,3,5,5,1,2,1,1352,1,1,4,4.33333333333333,1.1139,1,1
2019-12-10 08:07:59,2019-12-10 08:54:13,0,2773,1,48,1,4,4,4,5,4,1,2,1,2773,1,0,4,4.33333333333333,1.1139,1,0
2019-12-11 13:17:43,2019-12-11 13:38:18,0,1234,1,50,1,2,2,3,5,4,1,2,1,1234,1,0,2,4,-0.8861,1,0
2019-12-05 13:57:20,2019-12-05 14:28:15,0,1855,1,44,1,3,3,3,2,3,1,2,1,1855,1,0,3,2.66666666666667,0.1139,1,0
2019-12-05 14:15:24,2019-12-05 14:42:37,0,1633,1,39,2,1,1,1,1,1,1,2,1,1633,1,1,1,1,-1.8861,1,1
2019-12-05 17:30:54,2019-12-05 17:41:33,0,638,1,53,2,3,1,1,1,1,1,2,1,638,1,1,2,1,-0.8861,1,1
2019-12-05 21:28:18,2019-12-05 21:51:16,0,1377,1,61,1,4,3,5,3,1,1,2,1,1377,1,0,3.5,3,0.6139,1,0
2019-12-05 21:55:43,2019-12-05 22:21:42,0,1558,1,38,2,1,1,2,4,1,1,2,1,1558,1,1,1,2.33333333333333,-1.8861,1,1
2019-12-06 17:15:40,2019-12-06 18:34:43,0,4742,1,51,2,1,1,1,1,1,1,2,1,4742,1,1,1,1,-1.8861,1,1
2019-12-06 20:29:15,2019-12-06 20:46:13,0,1018,1,54,2,5,3,3,5,5,1,2,1,1018,1,1,4,4.33333333333333,1.1139,1,1
2019-12-07 07:19:14,2019-12-07 07:50:15,0,1861,1,56,1,4,5,1,2,3,1,2,1,1861,1,0,4.5,2,1.6139,1,0
2019-12-07 11:28:49,2019-12-07 11:37:17,0,507,1,48,1,3,4,2,5,5,1,2,1,507,1,0,3.5,4,0.6139,1,0
2019-12-07 14:28:28,2019-12-07 14:42:28,0,840,1,52,2,1,3,3,3,3,1,2,1,840,1,1,2,3,-0.8861,1,1
2019-12-07 22:58:21,2019-12-07 23:23:05,0,1483,1,51,2,1,3,1,1,3,1,2,1,1483,1,1,2,1.66666666666667,-0.8861,1,1
2019-12-08 09:01:40,2019-12-08 09:23:19,0,1299,1,49,2,2,2,1,2,1,1,2,1,1299,1,1,2,1.33333333333333,-0.8861,1,1
2019-12-08 11:24:32,2019-12-08 11:42:29,0,1076,1,39,1,2,1,3,5,5,1,2,1,1076,1,0,1.5,4.33333333333333,-1.3861,1,0
2019-12-08 13:22:22,2019-12-08 14:02:52,0,2429,1,18,1,1,1,2,2,4,1,2,1,2429,1,0,1,2.66666666666667,-1.8861,1,0
2019-12-08 21:42:56,2019-12-08 22:16:21,0,2005,1,37,2,2,5,5,4,4,1,2,1,2005,1,1,3.5,4.33333333333333,0.6139,1,1
2019-12-09 07:50:53,2019-12-09 08:21:07,0,1813,1,35,2,2,2,4,1,3,1,2,1,1813,1,1,2,2.66666666666667,-0.8861,1,1
2019-12-09 10:00:48,2019-12-09 11:41:27,0,6038,1,32,2,5,1,5,5,5,1,2,3,6038,1,1,3,5,0.1139,1,1
2019-12-09 11:12:55,2019-12-09 11:59:17,0,2781,1,26,1,4,3,4,5,5,1,2,1,2781,1,0,3.5,4.66666666666667,0.6139,1,0
2019-12-09 18:17:25,2019-12-09 18:32:52,0,926,1,49,2,1,1,3,4,3,1,2,4,926,1,1,1,3.33333333333333,-1.8861,1,1
2019-12-09 20:13:56,2019-12-09 20:36:48,0,1371,1,46,2,3,3,1,3,3,1,2,1,1371,1,1,3,2.33333333333333,0.1139,1,1
2019-12-10 10:09:21,2019-12-10 10:29:06,0,1185,1,49,1,2,2,3,3,2,1,2,1,1185,1,0,2,2.66666666666667,-0.8861,1,0
2019-12-10 11:25:26,2019-12-10 12:58:41,0,5595,1,42,1,2,2,1,3,1,1,2,1,5595,1,0,2,1.66666666666667,-0.8861,1,0
2019-12-10 13:19:20,2019-12-10 13:28:36,0,555,1,45,2,3,3,3,4,3,1,2,4,555,1,1,3,3.33333333333333,0.1139,1,1
2019-12-10 14:27:47,2019-12-10 14:48:40,0,1252,1,48,2,4,4,1,5,5,1,2,1,1252,1,1,4,3.66666666666667,1.1139,1,1
2019-12-10 15:44:12,2019-12-10 16:30:25,0,2772,1,44,1,1,1,3,3,3,1,2,1,2772,1,0,1,3,-1.8861,1,0
2019-12-12 12:52:42,2019-12-12 12:59:17,0,394,1,41,1,5,5,2,3,3,1,2,1,394,1,0,5,2.66666666666667,2.1139,1,0
2019-12-06 17:26:03,2019-12-06 18:00:16,0,2052,1,57,1,1,1,3,2,2,1,2,1,2052,1,0,1,2.33333333333333,-1.8861,1,0
2019-12-06 22:58:13,2019-12-06 23:22:30,0,1457,1,58,1,1,2,4,3,4,1,2,1,1457,1,0,1.5,3.66666666666667,-1.3861,1,0
2019-12-10 13:41:30,2019-12-10 13:52:42,0,671,1,29,1,1,1,1,5,1,1,2,1,671,1,0,1,2.33333333333333,-1.8861,1,0
2019-12-11 13:21:06,2019-12-11 13:43:47,0,1360,1,59,1,5,5,2,2,2,1,2,1,1360,1,0,5,2,2.1139,1,0
2019-12-05 13:43:29,2019-12-05 14:04:48,0,1278,1,19,1,5,3,1,1,1,1,2,1,1278,1,0,4,1,1.1139,1,0
2019-12-05 14:05:10,2019-12-05 14:26:13,0,1263,1,63,1,1,4,5,5,5,1,2,1,1263,1,0,2.5,5,-0.3861,1,0
2019-12-06 23:04:00,2019-12-06 23:35:34,0,1894,1,62,2,2,2,1,1,1,1,2,1,1894,1,1,2,1,-0.8861,1,1
2019-12-07 17:01:34,2019-12-07 17:23:14,0,1300,1,18,2,3,3,1,2,2,1,2,1,1300,1,1,3,1.66666666666667,0.1139,1,1
2019-12-07 18:21:29,2019-12-07 18:44:34,0,1385,1,54,1,5,5,1,1,1,1,2,1,1385,1,0,5,1,2.1139,1,0
2019-12-08 07:06:38,2019-12-08 07:32:50,0,1572,1,59,2,1,1,1,1,1,1,2,1,1572,1,1,1,1,-1.8861,1,1
2019-12-08 17:11:03,2019-12-08 17:28:59,0,1075,1,20,2,2,1,1,1,1,1,2,4,1075,1,1,1.5,1,-1.3861,1,1
2019-12-09 07:16:19,2019-12-09 07:29:58,0,819,1,30,2,2,2,2,2,2,1,2,1,819,1,1,2,2,-0.8861,1,1
2019-12-09 13:10:58,2019-12-10 02:11:08,0,46809,1,18,2,2,3,5,5,4,1,2,1,46809,1,1,2.5,4.66666666666667,-0.3861,1,1
2019-12-10 13:09:51,2019-12-10 14:04:30,0,3278,1,43,2,3,4,1,1,1,1,3,1,3278,NA,1,3.5,1,0.6139,NA,1
2019-12-05 18:39:41,2019-12-05 19:08:11,0,1710,1,30,2,1,1,1,1,1,1,3,4,1710,NA,1,1,1,-1.8861,NA,1
2019-12-07 17:13:30,2019-12-07 17:18:55,0,324,1,28,1,1,1,1,1,1,1,3,4,324,NA,0,1,1,-1.8861,NA,0
2019-12-06 22:01:06,2019-12-06 22:18:40,0,1054,1,63,2,4,4,2,2,2,1,3,1,1054,NA,1,4,2,1.1139,NA,1
2019-12-09 20:44:46,2019-12-09 20:52:31,0,464,1,44,1,2,2,2,2,2,1,3,4,464,NA,0,2,2,-0.8861,NA,0
2019-12-07 22:01:20,2019-12-07 22:10:57,0,577,1,21,2,3,2,4,3,3,2,3,4,577,NA,1,2.5,3.33333333333333,-0.3861,NA,1
2019-12-06 00:43:14,2019-12-06 01:00:25,0,1030,1,20,2,2,3,5,5,5,1,3,1,1030,NA,1,2.5,5,-0.3861,NA,1
2019-12-07 08:14:14,2019-12-07 09:27:20,0,4385,1,64,2,3,3,1,1,1,1,3,1,4385,NA,1,3,1,0.1139,NA,1
2019-12-08 00:06:11,2019-12-08 00:39:16,0,1985,1,31,2,3,3,1,1,1,1,3,4,1985,NA,1,3,1,0.1139,NA,1
2019-12-09 12:15:17,2019-12-09 12:57:28,0,2530,1,25,1,3,3,2,4,4,4,3,1,2530,NA,0,3,3.33333333333333,0.1139,NA,0
2019-12-07 15:12:11,2019-12-07 15:55:02,0,2570,1,25,1,3,3,3,4,3,5,3,2,2570,NA,0,3,3.33333333333333,0.1139,NA,0
2019-12-06 15:37:13,2019-12-06 16:03:19,0,1565,1,44,1,2,2,1,1,1,1,3,4,1565,NA,0,2,1,-0.8861,NA,0
2019-12-08 04:46:22,2019-12-08 05:07:00,0,1238,1,49,1,3,4,3,3,4,4,3,1,1238,NA,0,3.5,3.33333333333333,0.6139,NA,0
2019-12-07 01:31:44,2019-12-07 01:57:57,0,1572,1,64,1,5,4,4,2,2,2,3,1,1572,NA,0,4.5,2.66666666666667,1.6139,NA,0
2019-12-08 08:13:32,2019-12-08 08:38:56,0,1523,1,51,1,2,2,3,3,3,1,3,4,1523,NA,0,2,3,-0.8861,NA,0
2019-12-09 11:35:21,2019-12-09 12:00:02,0,1481,1,28,1,3,2,2,3,3,1,3,1,1481,NA,0,2.5,2.66666666666667,-0.3861,NA,0
2019-12-05 13:36:09,2019-12-05 13:57:20,0,1270,1,44,2,5,1,1,1,1,1,3,1,1270,NA,1,3,1,0.1139,NA,1
